Iteration	Posterior	Likelihood	Prior	tree_length
3540	-1322.478	-1454.452	131.9742	1.651111
3550	-1316.873	-1448.701	131.8278	1.7975
3560	-1325.908	-1457.811	131.9035	1.721824
3570	-1326.738	-1458.61	131.8722	1.753031
3580	-1328.549	-1460.431	131.8821	1.743216
3590	-1328.812	-1460.693	131.8817	1.743593
3600	-1319.228	-1451.396	132.1681	1.45715
3610	-1311.937	-1443.715	131.7779	1.847362
3620	-1321.747	-1453.505	131.7574	1.86786
3630	-1328.599	-1460.717	132.1174	1.507907
3640	-1325.41	-1457.216	131.806	1.819286
3650	-1333.818	-1465.638	131.8192	1.806065
3660	-1334.728	-1466.421	131.6931	1.932201
3670	-1335.184	-1466.967	131.7832	1.842081
3680	-1329.973	-1461.809	131.8368	1.788472
3690	-1329.393	-1461.338	131.9452	1.680075
3700	-1328.438	-1460.383	131.9452	1.680098
3710	-1333.932	-1465.787	131.8551	1.7702
3720	-1326.289	-1458.224	131.9345	1.69081
3730	-1319.302	-1451.258	131.9554	1.669875
3740	-1312.618	-1444.358	131.7398	1.88546
3750	-1318.259	-1450.156	131.8979	1.727378
3760	-1321.069	-1452.987	131.9184	1.706865
3770	-1326.065	-1458.107	132.0419	1.583338
3780	-1322.039	-1453.795	131.7561	1.869169
3790	-1327.056	-1459.045	131.9897	1.635551
3800	-1322.564	-1453.953	131.389	2.236245
3810	-1316.791	-1448.517	131.7259	1.899379
3820	-1315.419	-1447.093	131.6742	1.951037
3830	-1325.365	-1457.3	131.9354	1.689904
3840	-1321.341	-1453.071	131.7295	1.895744
3850	-1316.018	-1447.977	131.96	1.665319
3860	-1316.706	-1448.65	131.9443	1.680968
3870	-1316.344	-1448.134	131.7908	1.834486
3880	-1327.662	-1459.472	131.8108	1.814458
3890	-1329.471	-1461.307	131.8361	1.789158
3900	-1328.351	-1460.34	131.9893	1.636003
3910	-1315.338	-1447.412	132.0739	1.551371
3920	-1321.976	-1453.616	131.6407	1.984611
3930	-1312.876	-1444.764	131.8886	1.736676
3940	-1316.637	-1448.338	131.7014	1.92392
3950	-1323.312	-1455.441	132.1291	1.496221
3960	-1324.375	-1456.123	131.7482	1.877096
3970	-1318.551	-1450.524	131.9739	1.651429
3980	-1318.871	-1451.123	132.2523	1.373001
3990	-1315.913	-1447.536	131.6224	2.002927
4000	-1313.709	-1445.531	131.8224	1.802845
4010	-1326.91	-1458.89	131.9802	1.645099
4020	-1316.285	-1447.965	131.6809	1.944381
4030	-1321.077	-1453.313	132.2357	1.38953
4040	-1313.058	-1444.958	131.8993	1.725948
4050	-1316.259	-1448.032	131.7727	1.852595
4060	-1318.752	-1450.346	131.5944	2.030889
4070	-1315.682	-1447.646	131.9638	1.661436
4080	-1324.376	-1456.233	131.8575	1.767802
4090	-1321.138	-1453.096	131.9577	1.667538
4100	-1322.751	-1454.647	131.896	1.729313
4110	-1334.216	-1466.039	131.8231	1.802182
4120	-1333.244	-1465.191	131.9474	1.677864
4130	-1328.984	-1460.54	131.556	2.069327
4140	-1317.321	-1448.902	131.581	2.044324
4150	-1316.354	-1448.053	131.699	1.926277
4160	-1319.5	-1451.226	131.7264	1.898878
4170	-1316.165	-1447.814	131.6493	1.976009
4180	-1314.444	-1446.159	131.7148	1.910498
4190	-1330.585	-1462.521	131.936	1.68932
4200	-1319.583	-1451.188	131.6046	2.020697
4210	-1336.293	-1468.293	132.0005	1.624774
4220	-1326.409	-1458.336	131.9266	1.698729
4230	-1332.48	-1464.407	131.9266	1.698729
4240	-1330.609	-1462.634	132.0249	1.600359
4250	-1326.712	-1458.184	131.4719	2.153387
4260	-1328.409	-1460.263	131.8546	1.770661
