Iteration	Replicate_ID	Posterior	Likelihood	Prior	tree_length
283	1	-707.4595	-736.3797	28.92014	5.861812
284	0	-721.3508	-747.4459	26.09512	8.686836
285	1	-712.2215	-739.8612	27.63967	7.142279
286	0	-716.8952	-743.1846	26.2894	8.492556
287	1	-706.0291	-735.1293	29.10022	5.681732
288	0	-718.5753	-744.5944	26.01909	8.762863
289	1	-711.0551	-739.7294	28.67436	6.107591
290	0	-715.4959	-742.5311	27.03525	7.746706
291	1	-705.0372	-733.7	28.6628	6.119148
292	0	-708.7001	-736.5587	27.85853	6.923426
293	1	-706.0074	-734.5203	28.51285	6.269106
294	0	-705.5368	-733.4482	27.91142	6.870529
295	1	-704.8183	-733.0231	28.20473	6.577224
296	0	-705.5719	-733.8482	28.27627	6.505681
297	1	-706.356	-735.6166	29.26063	5.521324
298	0	-709.6556	-738.0605	28.40484	6.377111
299	1	-710.3639	-739.6154	29.25154	5.530414
300	0	-708.5816	-736.5196	27.93802	6.843936
301	1	-706.2357	-733.8733	27.63762	7.144337
302	0	-719.3388	-747.9836	28.64478	6.137177
303	1	-702.0121	-731.1193	29.10715	5.6748
304	0	-709.1862	-737.7826	28.59642	6.185534
305	1	-709.3229	-738.722	29.39917	5.382783
306	0	-713.1667	-741.1302	27.96348	6.818477
307	1	-710.5921	-739.3182	28.7261	6.055855
308	0	-712.6253	-739.7461	27.12076	7.66119
309	1	-714.168	-743.3525	29.18453	5.597425
310	0	-709.4599	-735.8573	26.39742	8.384528
311	1	-706.2745	-735.1438	28.86934	5.912614
312	0	-706.9443	-734.8768	27.93243	6.849527
313	1	-708.143	-736.8143	28.67128	6.110675
314	0	-703.0552	-731.4715	28.41628	6.365676
315	1	-708.3753	-737.2885	28.91318	5.868776
316	0	-713.8882	-741.4551	27.56685	7.215106
317	1	-714.5089	-743.4246	28.9157	5.866254
318	0	-708.2371	-736.6171	28.37999	6.401965
319	1	-708.3565	-735.7763	27.41981	7.362145
320	0	-709.9287	-738.4586	28.52994	6.25201
321	1	-710.9169	-739.1761	28.2592	6.522748
322	0	-708.6423	-737.1004	28.45817	6.323784
323	1	-710.7734	-739.1266	28.35318	6.428778
324	0	-710.2758	-738.4514	28.17567	6.60628
325	1	-709.4574	-736.5112	27.05379	7.728166
326	0	-709.8708	-739.0874	29.21652	5.565434
327	1	-705.1327	-733.1898	28.05715	6.724805
328	0	-706.6981	-735.4885	28.79048	5.991472
329	1	-706.792	-734.3216	27.52957	7.252385
330	0	-712.6413	-741.3412	28.69991	6.082044
331	1	-704.3012	-732.3765	28.07531	6.706644
332	0	-711.1709	-740.5128	29.34185	5.440107
333	1	-707.3397	-735.5389	28.19924	6.582717
334	0	-702.8152	-732.093	29.27787	5.50408
335	1	-707.5308	-735.4527	27.9219	6.860058
336	0	-703.3317	-732.7524	29.42065	5.361305
337	1	-715.9203	-744.2759	28.35558	6.426374
338	0	-705.3416	-734.8105	29.46884	5.313112
339	1	-712.5208	-740.0009	27.48015	7.301804
340	0	-706.333	-735.6962	29.36325	5.4187
341	1	-711.1562	-739.1666	28.01045	6.771506
342	0	-705.5039	-733.4107	27.90673	6.875227
343	1	-705.9708	-733.6036	27.63281	7.149145
344	0	-707.9868	-735.2355	27.24873	7.533222
345	1	-701.447	-730.5582	29.11118	5.670771
346	0	-701.515	-730.8895	29.37446	5.40749
347	1	-702.8897	-732.2123	29.32257	5.459379
348	0	-709.2441	-737.6361	28.39197	6.389983
349	1	-704.4417	-732.9871	28.54541	6.236539
350	0	-709.2342	-737.9632	28.72905	6.0529
351	1	-700.9212	-730.1905	29.26934	5.51261
352	0	-705.4734	-732.8721	27.3987	7.383258
353	1	-705.9747	-734.6273	28.65256	6.12939
354	0	-705.0473	-732.0321	26.98481	7.79714
355	1	-712.0446	-740.8941	28.84949	5.932462
356	0	-712.161	-739.1118	26.95078	7.831174
357	1	-714.8048	-742.6991	27.89428	6.887671
358	0	-705.2781	-733.6686	28.39042	6.391529
359	1	-709.9765	-738.4626	28.48607	6.295881
360	0	-713.8035	-742.3959	28.5924	6.189551
361	1	-709.0032	-735.5582	26.55495	8.227005
362	0	-709.3071	-738.4095	29.10245	5.679504
363	1	-710.533	-739.3319	28.79889	5.983067
364	0	-715.1099	-743.3067	28.19688	6.585068
365	1	-707.8013	-734.467	26.66566	8.116294
366	0	-705.802	-734.8613	29.0593	5.722657
367	1	-708.008	-735.9545	27.94654	6.835418
368	0	-707.6276	-736.6888	29.06121	5.720739
369	1	-712.7937	-741.3583	28.56462	6.217328
370	0	-705.3039	-733.5601	28.25616	6.525791
371	1	-709.1565	-738.0189	28.8624	5.919552
372	0	-709.581	-737.8372	28.25616	6.525791
373	1	-712.0178	-740.7683	28.75056	6.031388
374	0	-704.4729	-732.7881	28.31521	6.466748
375	1	-704.7203	-732.7063	27.98597	6.795985
376	0	-709.5362	-737.5525	28.01629	6.765667
377	1	-713.1319	-739.1752	26.04327	8.738684
378	0	-710.5716	-738.8505	28.27887	6.503081
379	1	-709.022	-738.0354	29.01347	5.768481
380	0	-710.6584	-739.1277	28.46937	6.312588
381	1	-709.6087	-737.4428	27.83415	6.947799
382	0	-706.0298	-734.5501	28.52023	6.261724
383	1	-709.3851	-737.1595	27.77443	7.007518
384	0	-705.0584	-734.0321	28.97367	5.808286
385	1	-711.862	-739.2426	27.38055	7.401408
386	0	-703.1919	-732.0714	28.87955	5.902403
387	1	-706.6082	-734.208	27.59977	7.182185
388	0	-708.8099	-738.1504	29.34054	5.441415
389	1	-715.1547	-742.9529	27.79821	6.983744
390	0	-701.0862	-729.8527	28.7665	6.015451
391	1	-712.8864	-739.619	26.73255	8.049406
392	0	-708.063	-735.7816	27.71861	7.063343
393	1	-713.1301	-741.1363	28.0062	6.775753
394	0	-708.8708	-736.4781	27.60738	7.174573
395	1	-705.962	-734.5312	28.56911	6.212842
396	0	-706.5904	-735.3793	28.78881	5.993145
397	1	-710.334	-738.8735	28.53952	6.242428
398	0	-708.0686	-736.3069	28.23826	6.543691
399	1	-714.4329	-741.8546	27.42163	7.360326
400	0	-708.4746	-736.8324	28.35779	6.424162
401	1	-704.5888	-732.3762	27.78739	6.994559
402	0	-706.9348	-735.3775	28.4427	6.339253
403	1	-713.006	-741.0138	28.00773	6.774224
404	0	-715.6462	-743.9775	28.33128	6.450677
405	1	-715.4635	-742.7394	27.27595	7.506001
406	0	-708.0554	-736.0879	28.03249	6.749465
407	1	-712.9488	-740.2726	27.32383	7.458125
408	0	-708.2554	-736.2964	28.04104	6.740914
409	1	-712.4977	-740.7721	28.27443	6.507524
410	0	-703.6372	-732.8416	29.2044	5.577554
411	1	-708.5183	-737.019	28.50077	6.281184
412	0	-708.9719	-737.5956	28.62371	6.158246
413	1	-706.6431	-736.7169	30.07379	4.708159
414	0	-707.6848	-735.886	28.2012	6.580752
415	1	-708.663	-737.7746	29.11162	5.670329
416	0	-706.3079	-734.312	28.00409	6.777859
417	1	-704.2596	-732.4762	28.21661	6.565339
418	0	-700.9752	-729.2888	28.3136	6.468355
419	1	-711.1691	-739.8147	28.64558	6.136373
420	0	-706.0881	-735.0159	28.9278	5.854149
421	1	-714.0443	-742.5796	28.53526	6.246692
422	0	-706.9746	-736.0491	29.07451	5.707442
423	1	-714.9263	-741.9899	27.06361	7.718343
424	0	-705.8633	-734.2929	28.42959	6.352366
425	1	-703.794	-732.6157	28.82167	5.960285
426	0	-711.6175	-740.2729	28.65541	6.126541
427	1	-714.0979	-741.6011	27.50317	7.278778
428	0	-707.4836	-735.9603	28.47678	6.305171
429	1	-711.3262	-739.573	28.2468	6.535149
430	0	-713.6234	-742.0894	28.46602	6.31593
431	1	-704.2525	-731.9053	27.65282	7.129132
432	0	-701.5628	-729.9888	28.42594	6.356018
433	1	-706.8626	-735.6049	28.74222	6.039735
434	0	-707.1186	-735.4028	28.28425	6.497699
435	1	-710.5748	-737.6572	27.08233	7.699621
436	0	-701.4561	-729.7576	28.30149	6.480459
437	1	-712.5397	-739.1254	26.58567	8.196286
438	0	-699.5736	-728.6395	29.06592	5.716037
439	1	-702.0839	-730.4146	28.33073	6.451222
440	0	-701.3712	-729.4857	28.1145	6.667454
441	1	-703.7664	-732.1139	28.34759	6.434362
442	0	-705.3798	-734.6224	29.24262	5.539335
443	1	-705.6087	-733.4851	27.87647	6.905486
444	0	-704.1717	-732.518	28.34629	6.435662
445	1	-706.0454	-734.2258	28.18045	6.6015
446	0	-704.6248	-732.8182	28.19339	6.588565
447	1	-710.8558	-739.1777	28.32193	6.460019
448	0	-707.0316	-735.8463	28.81473	5.967219
449	1	-704.628	-733.2658	28.63771	6.144244
450	0	-701.903	-730.8565	28.95343	5.82852
451	1	-708.2165	-736.7816	28.56506	6.216895
