Iteration	Posterior	Likelihood	Prior	tree_length
2280	-706.4715	-735.4012	28.92968	5.852273
2290	-706.5361	-735.3374	28.80136	5.980593
2300	-708.1354	-736.1948	28.05936	6.72259
2310	-712.3102	-740.9031	28.59296	6.188993
2320	-711.2905	-739.5943	28.30382	6.47813
2330	-718.4247	-747.2176	28.79296	5.988995
2340	-707.0255	-736.2375	29.212	5.569952
2350	-702.5781	-731.5423	28.9642	5.817749
2360	-704.2098	-733.3648	29.15498	5.62697
2370	-704.2441	-732.6378	28.39365	6.388298
2380	-702.2116	-731.1847	28.97313	5.80882
2390	-704.8334	-733.684	28.85059	5.931367
2400	-704.662	-732.7831	28.12115	6.660807
2410	-706.5107	-735.1844	28.67366	6.108289
2420	-709.9266	-738.899	28.97239	5.809568
2430	-706.9511	-735.1606	28.20956	6.572391
2440	-703.0817	-731.1552	28.0735	6.708451
2450	-702.6054	-730.5944	27.98897	6.792979
2460	-697.8912	-726.4296	28.53836	6.243592
2470	-706.7579	-735.1696	28.41175	6.370205
2480	-709.0076	-737.5429	28.53536	6.246591
2490	-704.1823	-732.5968	28.41451	6.36744
2500	-705.9429	-735.4676	29.52465	5.257306
2510	-709.4353	-738.7731	29.33777	5.444186
2520	-703.6938	-732.0182	28.3244	6.457555
2530	-705.802	-734.7312	28.92916	5.852798
2540	-717.0047	-745.429	28.42425	6.357705
2550	-711.8901	-740.321	28.43097	6.350979
2560	-708.7198	-737.7315	29.01179	5.770159
2570	-718.2696	-746.4588	28.18912	6.592834
2580	-706.9377	-735.9307	28.99301	5.788943
2590	-707.3442	-735.5899	28.24561	6.536341
2600	-702.293	-730.8504	28.55743	6.224523
2610	-701.1157	-728.9081	27.79241	6.989542
2620	-702.5737	-731.178	28.60431	6.177643
2630	-711.3389	-739.4878	28.14894	6.633017
2640	-713.4124	-742.3081	28.89563	5.886321
2650	-706.6658	-736.0764	29.41068	5.371276
2660	-705.4116	-734.5442	29.13256	5.649388
2670	-710.8099	-738.8537	28.04385	6.738105
2680	-713.8299	-742.1406	28.3107	6.471255
2690	-711.2702	-740.0586	28.78842	5.993531
2700	-700.7864	-729.764	28.97757	5.804388
2710	-708.573	-736.4762	27.90317	6.878782
2720	-708.4503	-736.8199	28.36957	6.412384
2730	-703.5015	-731.9184	28.4169	6.365054
2740	-707.0066	-736.5805	29.57399	5.207961
2750	-703.2864	-732.0854	28.799	5.982953
2760	-703.7295	-732.6146	28.8851	5.896851
2770	-703.1882	-731.4279	28.23978	6.542173
2780	-705.0338	-732.1152	27.08144	7.700512
2790	-707.5879	-735.9624	28.37449	6.407462
2800	-708.2898	-736.7761	28.48637	6.295584
2810	-701.1489	-729.4974	28.34853	6.433427
2820	-712.1706	-740.5701	28.39956	6.382389
2830	-710.3138	-738.4113	28.09758	6.684371
2840	-710.9697	-740.2263	29.2566	5.52535
2850	-712.5338	-741.6081	29.07427	5.707683
2860	-703.3982	-731.7	28.30175	6.480204
2870	-709.4483	-737.8493	28.40103	6.380925
2880	-708.0864	-736.7013	28.6149	6.167057
2890	-710.7465	-738.9379	28.19142	6.59053
2900	-706.2167	-735.2025	28.98578	5.796169
2910	-709.0926	-738.3137	29.22105	5.560904
2920	-706.4768	-735.9149	29.43807	5.343883
2930	-703.0161	-731.9395	28.92339	5.858565
2940	-708.8371	-737.4234	28.58628	6.195676
2950	-708.2216	-736.8733	28.65163	6.130318
2960	-703.3047	-731.9172	28.61249	6.169466
2970	-704.6179	-733.0732	28.45533	6.326621
2980	-704.0826	-732.8409	28.75828	6.023674
2990	-704.2364	-732.9829	28.7465	6.035448
3000	-708.5068	-737.4703	28.96355	5.818406
3010	-707.5256	-736.4892	28.96355	5.818406
3020	-706.2831	-734.227	27.94395	6.838006
3030	-705.6357	-733.5623	27.92667	6.855281
3040	-713.3492	-741.3024	27.95313	6.828821
3050	-713.9989	-742.6801	28.68117	6.100782
3060	-703.416	-731.9256	28.50959	6.272363
3070	-705.0244	-733.4154	28.39102	6.390936
3080	-709.1693	-736.4463	27.27703	7.504924
3090	-701.2493	-730.0187	28.76947	6.012484
3100	-706.5327	-735.7152	29.18256	5.59939
3110	-706.9454	-734.8516	27.90616	6.875793
3120	-702.1981	-730.3844	28.18625	6.595703
3130	-707.5453	-735.8592	28.31394	6.46801
3140	-710.1318	-738.1262	27.99441	6.787539
3150	-705.4949	-733.4741	27.97916	6.802798
3160	-708.565	-736.4652	27.90023	6.88172
3170	-710.0363	-737.6186	27.58223	7.19972
3180	-706.9861	-735.8401	28.85404	5.92791
3190	-705.0713	-734.414	29.34273	5.439218
3200	-708.7442	-737.9235	29.17933	5.602619
3210	-702.882	-731.5673	28.68525	6.096701
